Name	die	crit	crit	melee	hands	skill	throw	ammo	reach	slash	pierce	blunt	parry	riposte	feint	trip	disarm	
bola	1d4	20	x2	FALSE	0	throw	FALSE	Self	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
dart	1d4	19-20	x3	FALSE	0	throw	FALSE	Self	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
shuriken	1d4	18-20	x2	FALSE	0	throw	FALSE	Self	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
boomerang	1d4	20	x2	FALSE	1	throw	FALSE	None	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	
sling	any	20	x2	FALSE	0	throw	FALSE	Any	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	
round shield	1d12	20	x2	shield	1	shield	TRUE	N/A	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
kite shield	1d10	20	x2	shield	1	shield	FALSE	N/A	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
heater shield	1d8	19-20	x2	shield	1	shield	FALSE	N/A	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
scutum	2d6	20	x2	shield	1	shield	FALSE	N/A	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
buckler	1d6	18-20	x3	shield	1	shield	FALSE	N/A	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	
																		
